date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-05-16,,,0,0,0,445,302,652
2020-05-17,,,0,0,0,445,302,652
2020-05-18,,,0,0,0,445,302,652
2020-05-19,,,0,0,0,445,302,652
2020-05-20,,,0,0,0,445,302,652
2020-05-21,,,0,0,0,445,302,652
2020-05-22,,,0,0,0,445,302,652
2020-05-23,,,0,0,0,445,302,652
2020-05-24,,,0,0,0,445,302,652
2020-05-25,,,0,0,0,445,302,652
2020-05-26,,,0,0,0,445,302,652
2020-05-27,,,0,0,0,445,302,652
2020-05-28,,,0,0,0,445,302,652
2020-05-29,,,0,0,0,445,302,652
2020-05-30,,,0,0,0,445,302,652
2020-05-31,,,0,0,0,445,302,652
2020-06-01,,,0,0,0,445,302,652
2020-06-02,,,0,0,0,445,302,652
2020-06-03,,,0,0,0,445,302,652
2020-06-04,,,0,0,0,445,302,652
2020-06-05,,,0,0,0,445,302,652
2020-06-06,,,0,0,0,445,302,652
2020-06-07,,,0,0,0,445,302,652
2020-06-08,,,0,0,0,445,302,652
2020-06-09,,,0,0,0,445,302,652
2020-06-10,,,0,0,0,445,302,652
2020-06-11,,,0,0,0,445,302,652
2020-06-12,,,0,0,0,445,302,652
2020-06-13,,,0,0,0,445,302,652
2020-06-14,,,0,0,0,445,302,652
2020-06-15,,,0,0,0,445,302,652
2020-06-16,,,0,0,0,445,302,652
2020-06-17,,,0,0,0,445,302,652
2020-06-18,,,0,0,0,445,302,652
2020-06-19,,,0,0,0,445,302,652
2020-06-20,,,0,0,0,445,302,652
2020-06-21,,,0,0,0,445,302,652
2020-06-22,,,0,0,0,445,302,652
2020-06-23,,,0,0,0,445,302,652
2020-06-24,,,0,0,0,445,302,652
2020-06-25,,,0,0,0,445,302,652
2020-06-26,,,0,0,0,445,302,652
2020-06-27,,,0,0,0,445,302,652
2020-06-28,,,0,0,0,445,302,652
2020-06-29,,,0,0,0,445,302,652
2020-06-30,,,0,0,0,445,302,652
