date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-05-02,18,1067,,,,,,,947,457,1691,17689,9951,28383,157357,84739,241007,0.726628290014
2020-05-03,19,1086,,,,,,,920,434,1669,17148,9482,27935,158277,85174,242676,0.726669056309
2020-05-04,15,1101,,,,,,,894,414,1647,16630,9036,27498,159171,85588,244322,0.726672268429
2020-05-05,15,1116,,,,,,,869,394,1624,16134,8610,27102,160040,85983,245946,0.726645951413
2020-05-06,51,1167,,,,,,,844,376,1601,15658,8203,26704,160884,86359,247546,0.726596696671
2020-05-07,17,1184,,,,,,,820,359,1577,15199,7812,26306,161704,86719,249123,0.726530168001
2020-05-08,7,1191,,,,,,,797,342,1554,14758,7437,25907,162501,87061,250676,0.726451266275
2020-05-09,12,1203,,,,,,,774,327,1530,14331,7076,25506,163275,87389,252206,0.726364284236
2020-05-10,15,1218,,,,,,,752,313,1505,13918,6728,25113,164026,87702,253711,0.726273051107
2020-05-11,9,1227,,,,,,,730,299,1481,13519,6398,24734,164756,88001,255191,0.72618106839
2020-05-12,11,1238,,,,,,,708,286,1456,13131,6089,24356,165465,88287,256646,0.72609163913
2020-05-13,7,1245,,,,,,,688,273,1431,12754,5799,23982,166152,88561,258077,0.726007993448
2020-05-14,11,1256,,,,,,,667,261,1398,12388,5527,23609,166820,88823,259474,0.725933413708
2020-05-15,13,1269,,,,,,,647,250,1362,12032,5271,23232,167467,89073,260835,0.725871363085
2020-05-16,6,1275,,,,,,,627,239,1343,11684,5030,22862,168094,89313,262178,0.725825621676
2020-05-17,14,1289,,,,,,,608,229,1318,11345,4802,22489,168702,89542,263496,0.725800434728
2020-05-18,6,1295,,,,,,,589,218,1293,11014,4586,22113,169292,89761,264788,0.725800677917
2020-05-19,3,1298,,,,,,,571,209,1267,10691,4381,21733,169862,89970,266055,0.725832045076
2020-05-20,7,1305,,,,,,,552,199,1240,10374,4186,21349,170414,90169,267294,0.725901264258
2020-05-21,8,1313,,,,,,,534,190,1214,10064,4000,20963,170948,90360,268508,0.726016348485
2020-05-22,6,1319,,,,,,,516,181,1189,9760,3822,20574,171465,90541,269696,0.726186887929
2020-05-23,8,1327,,,,,,,499,173,1163,9463,3652,20183,171964,90714,270859,0.726424390416
2020-05-24,10,1337,,,,,,,482,164,1137,9170,3489,19790,172445,90879,271995,0.726742676881
2020-05-25,6,1343,,,,,,,465,155,1111,8884,3332,19395,172910,91035,273105,0.727158337417
2020-05-26,2,1345,,,,,,,448,148,1085,8602,3182,18999,173358,91184,274189,0.727691251433
2020-05-27,7,1352,,,,,,,432,140,1059,8325,3036,18602,173790,91324,275247,0.728365171537
2020-05-28,5,1357,,,,,,,416,132,1033,8053,2895,18203,174205,91457,276280,0.72920836428
2020-05-29,2,1359,,,,,,,400,124,1007,7785,2758,17812,174605,91581,277286,0.730254290753
2020-05-30,5,1364,,,,,,,384,117,981,7522,2625,17431,174989,91698,278266,0.731542294894
2020-05-31,7,1371,,,,,,,369,110,955,7263,2495,17044,175358,91809,279221,0.733118245792
2020-06-01,3,1374,,,,,,,354,104,930,7009,2370,16655,175711,91913,280151,0.735035050956
2020-06-02,4,1378,,,,,,,339,97,907,6759,2249,16270,176050,92010,281057,0.737352919605
2020-06-03,3,1381,,,,,,,325,91,881,6513,2131,15884,176375,92102,281938,0.740139209559
2020-06-04,4,1385,,,,,,,311,86,856,6272,2018,15499,176686,92188,282793,0.743467641887
2020-06-05,4,1389,,,,,,,298,81,831,6035,1910,15116,176984,92270,283623,0.747416622892
2020-06-06,3,1392,,,,,,,286,78,805,5805,1806,14732,177270,92348,284428,0.752066322964
2020-06-07,0,1392,,,,,,,277,74,784,5583,1708,14353,177547,92422,285211,0.757494450016
2020-06-08,3,1395,,,,,,,268,71,766,5370,1614,13983,177815,92494,285977,0.763770040458
2020-06-09,0,1395,,,,,,,260,68,750,5165,1527,13622,178075,92562,286726,0.770946263045
2020-06-10,4,1399,,,,,,,253,66,735,4970,1444,13272,178328,92628,287461,0.779052122261
2020-06-11,1,1400,,,,,,,246,64,721,4784,1367,12935,178574,92692,288182,0.788083029108
2020-06-12,2,1402,,,,,,,241,62,712,4610,1297,12614,178815,92754,288893,0.797992665778
2020-06-13,2,1404,,,,,,,237,60,704,4447,1233,12311,179052,92815,289597,0.808687426432
2020-06-14,0,1404,,,,,,,233,59,700,4296,1175,12030,179285,92874,290296,0.820025223506
2020-06-15,1,1405,,,,,,,230,58,698,4157,1124,11773,179515,92933,290994,0.831819913582
2020-06-16,0,1405,,,,,,,228,58,704,4032,1078,11547,179743,92991,291698,0.843851636568
2020-06-17,2,1407,,,,,,,227,57,718,3919,1038,11358,179970,93049,292415,0.855882239102
2020-06-18,3,1410,,,,,,,226,57,734,3820,1005,11211,180195,93107,293148,0.867673630929
2020-06-19,0,1410,,,,,,,225,56,752,3735,975,11106,180421,93164,293899,0.879006142457
2020-06-20,3,1413,,,,,,,225,55,771,3662,949,11046,180646,93219,294669,0.889693961761
2020-06-21,1,1414,,,,,,,226,54,788,3602,926,11029,180872,93274,295457,0.899595468819
2020-06-22,1,1415,,,,,,,227,54,798,3552,906,11044,181099,93329,296254,0.90861757084
2020-06-23,1,1416,,,,,,,228,53,809,3512,888,11086,181327,93382,297063,0.916714423404
2020-06-24,0,1416,,,,,,,230,52,821,3482,873,11158,181557,93435,297884,0.923881853952
2020-06-25,,,2,0,5,1418,1416,1421,232,52,834,3461,859,11257,181789,93488,298718,
2020-06-26,,,2,0,5,1419,1416,1425,234,51,848,3449,847,11384,182023,93539,299565,
2020-06-27,,,2,0,5,1421,1417,1430,236,51,863,3444,836,11534,182259,93591,300427,
2020-06-28,,,2,0,5,1422,1417,1434,239,51,878,3446,827,11708,182498,93643,301305,
2020-06-29,,,2,0,5,1424,1418,1438,242,51,893,3455,819,11902,182740,93694,302198,
2020-06-30,,,2,0,5,1425,1418,1442,245,51,910,3469,812,12113,182984,93746,303107,
2020-07-01,,,1,0,5,1427,1419,1447,248,51,926,3489,806,12335,183232,93798,304032,
2020-07-02,,,1,0,5,1428,1419,1451,251,51,943,3513,799,12561,183483,93849,304975,
2020-07-03,,,1,0,5,1430,1419,1455,254,50,961,3542,792,12788,183737,93899,305936,
2020-07-04,,,1,0,5,1431,1420,1459,258,49,979,3575,785,13016,183995,93949,306914,
2020-07-05,,,1,0,5,1433,1420,1464,262,49,997,3611,779,13242,184257,93999,307911,
2020-07-06,,,1,0,5,1434,1420,1468,265,48,1016,3650,773,13470,184522,94048,308926,
2020-07-07,,,1,0,5,1436,1421,1472,269,48,1035,3693,767,13707,184792,94096,309961,
2020-07-08,,,1,0,5,1437,1421,1477,273,47,1054,3738,761,13952,185065,94144,311014,
2020-07-09,,,1,0,5,1439,1422,1481,277,47,1074,3785,756,14204,185342,94192,312088,
2020-07-10,,,1,0,5,1440,1422,1486,282,46,1094,3835,750,14464,185624,94238,313181,
2020-07-11,,,1,0,5,1441,1422,1491,286,46,1114,3888,745,14730,185910,94285,314294,
2020-07-12,,,1,0,5,1443,1423,1496,291,45,1135,3942,739,15002,186201,94331,315428,
2020-07-13,,,1,0,5,1444,1423,1500,295,45,1155,3998,733,15279,186496,94376,316583,
2020-07-14,,,1,0,5,1446,1423,1505,300,45,1177,4057,727,15562,186796,94422,317759,
2020-07-15,,,1,0,5,1447,1424,1510,305,44,1198,4117,720,15850,187101,94466,318957,
2020-07-16,,,1,0,5,1448,1424,1515,310,44,1220,4179,713,16144,187411,94511,320176,
2020-07-17,,,1,0,5,1450,1424,1520,314,44,1237,4242,706,16437,187725,94555,321412,
2020-07-18,,,1,0,6,1451,1425,1525,318,43,1254,4306,699,16730,188044,94598,322665,
2020-07-19,,,1,0,6,1453,1425,1530,323,43,1271,4371,692,17022,188366,94642,323935,
2020-07-20,,,1,0,6,1454,1425,1535,327,42,1287,4437,685,17312,188694,94684,325222,
2020-07-21,,,1,0,6,1455,1425,1541,332,42,1303,4503,679,17599,189025,94727,326525,
2020-07-22,,,1,0,6,1457,1426,1546,336,42,1317,4570,672,17881,189361,94769,327841,
2020-07-23,,,1,0,6,1458,1426,1551,340,41,1332,4636,666,18159,189701,94811,329173,
2020-07-24,,,1,0,6,1460,1426,1557,344,41,1348,4703,660,18433,190045,94852,330520,
2020-07-25,,,1,0,6,1461,1427,1562,348,40,1366,4769,654,18705,190393,94893,331886,
2020-07-26,,,1,0,6,1463,1427,1568,352,40,1389,4834,648,18980,190745,94933,333274,
2020-07-27,,,1,0,6,1464,1427,1573,355,40,1414,4899,643,19260,191100,94974,334687,
2020-07-28,,,1,0,6,1466,1428,1579,359,39,1440,4963,637,19544,191459,95014,336127,
2020-07-29,,,2,0,6,1467,1428,1585,362,39,1468,5025,631,19836,191821,95053,337594,
2020-07-30,,,2,0,6,1469,1428,1591,366,39,1490,5086,626,20127,192187,95093,339083,
2020-07-31,,,2,0,6,1470,1428,1597,369,38,1514,5145,620,20421,192556,95132,340597,
2020-08-01,,,2,0,7,1472,1429,1603,372,38,1536,5203,615,20721,192928,95170,342132,
2020-08-02,,,2,0,7,1473,1429,1609,375,38,1553,5259,609,21020,193303,95208,343685,
2020-08-03,,,2,0,7,1475,1429,1615,378,37,1565,5314,604,21314,193680,95246,345249,
2020-08-04,,,2,0,7,1476,1429,1621,380,37,1580,5367,599,21607,194061,95284,346829,
2020-08-05,,,2,0,7,1478,1430,1628,383,37,1607,5418,594,21912,194443,95321,348436,
2020-08-06,,,2,0,7,1480,1430,1634,385,36,1639,5467,589,22234,194828,95358,350075,
2020-08-07,,,2,0,7,1481,1430,1640,387,36,1671,5514,584,22573,195215,95395,351745,
2020-08-08,,,2,0,7,1483,1430,1647,389,36,1703,5559,579,22928,195605,95431,353448,
2020-08-09,,,2,0,7,1485,1431,1654,391,36,1727,5602,574,23289,195995,95467,355174,
2020-08-10,,,2,0,7,1486,1431,1660,393,35,1755,5643,569,23655,196388,95503,356929,
2020-08-11,,,2,0,7,1488,1431,1667,394,35,1778,5682,564,24020,196782,95539,358707,
2020-08-12,,,2,0,7,1490,1431,1674,396,35,1804,5719,560,24383,197178,95574,360510,
2020-08-13,,,2,0,7,1492,1431,1680,397,35,1830,5753,555,24746,197575,95609,362340,
2020-08-14,,,2,0,7,1493,1432,1687,398,34,1857,5786,550,25113,197973,95644,364196,
2020-08-15,,,2,0,7,1495,1432,1694,399,34,1883,5816,546,25482,198371,95678,366078,
2020-08-16,,,2,0,7,1497,1432,1701,400,34,1908,5843,542,25854,198771,95713,367986,
2020-08-17,,,2,0,8,1499,1432,1708,400,34,1933,5869,538,26235,199172,95747,369919,
2020-08-18,,,2,0,8,1500,1432,1715,401,34,1957,5892,534,26626,199573,95781,371875,
2020-08-19,,,2,0,8,1502,1433,1722,402,33,1980,5914,530,27027,199974,95815,373855,
2020-08-20,,,2,0,8,1504,1433,1730,402,33,2002,5933,527,27422,200376,95848,375857,
2020-08-21,,,2,0,8,1506,1433,1737,402,33,2021,5950,523,27803,200778,95882,377877,
2020-08-22,,,2,0,8,1508,1433,1745,402,33,2039,5965,520,28171,201180,95915,379915,
2020-08-23,,,2,0,8,1509,1433,1752,402,33,2056,5978,517,28523,201583,95948,381971,
2020-08-24,,,2,0,8,1511,1434,1760,402,32,2071,5989,513,28868,201985,95981,384041,
2020-08-25,,,2,0,8,1513,1434,1767,402,32,2086,5999,510,29199,202387,96014,386127,
2020-08-26,,,2,0,8,1515,1434,1775,402,32,2100,6006,507,29520,202788,96046,388227,
2020-08-27,,,2,0,8,1517,1434,1783,401,32,2113,6012,504,29829,203189,96079,390339,
2020-08-28,,,2,0,8,1519,1434,1791,401,32,2124,6016,501,30123,203590,96111,392462,
2020-08-29,,,2,0,8,1521,1435,1799,400,32,2134,6018,499,30401,203990,96143,394596,
2020-08-30,,,2,0,9,1522,1435,1807,399,31,2158,6018,496,30676,204390,96175,396754,
2020-08-31,,,2,0,9,1524,1435,1815,399,31,2174,6017,493,30942,204789,96206,398927,
2020-09-01,,,2,0,9,1526,1435,1823,398,31,2189,6015,491,31198,205186,96238,401116,
2020-09-02,,,2,0,9,1528,1435,1832,397,31,2203,6011,488,31444,205583,96269,403319,
2020-09-03,,,2,0,9,1530,1435,1840,396,31,2216,6005,486,31680,205979,96301,405534,
2020-09-04,,,2,0,9,1532,1436,1849,395,31,2228,5998,483,31906,206374,96332,407762,
2020-09-05,,,2,0,9,1534,1436,1858,394,31,2239,5990,481,32125,206768,96363,410001,
2020-09-06,,,2,0,9,1535,1436,1866,393,31,2250,5980,479,32335,207161,96394,412250,
2020-09-07,,,2,0,10,1537,1436,1875,391,30,2261,5970,476,32541,207552,96425,414511,
2020-09-08,,,2,0,10,1539,1436,1885,390,30,2272,5958,474,32742,207942,96456,416783,
2020-09-09,,,2,0,10,1541,1436,1894,389,30,2279,5944,473,32935,208331,96487,419061,
2020-09-10,,,2,0,10,1543,1437,1903,387,30,2282,5930,471,33117,208718,96518,421343,
2020-09-11,,,2,0,10,1545,1437,1913,386,30,2284,5915,469,33288,209104,96548,423626,
2020-09-12,,,2,0,10,1547,1437,1922,384,30,2284,5898,468,33448,209488,96579,425910,
2020-09-13,,,2,0,10,1549,1437,1932,383,30,2284,5881,466,33597,209871,96610,428193,
2020-09-14,,,2,0,10,1551,1437,1942,381,30,2282,5862,465,33721,210252,96640,430475,
2020-09-15,,,2,0,10,1553,1437,1951,379,30,2280,5843,464,33828,210632,96671,432754,
2020-09-16,,,2,0,10,1554,1437,1961,378,30,2278,5823,463,33916,211010,96701,435032,
2020-09-17,,,2,0,10,1556,1438,1971,376,30,2274,5802,462,33986,211386,96732,437305,
2020-09-18,,,2,0,10,1558,1438,1981,374,30,2270,5781,461,34040,211760,96762,439574,
2020-09-19,,,2,0,11,1560,1438,1991,372,30,2267,5758,460,34078,212132,96793,441840,
2020-09-20,,,2,0,11,1562,1438,2001,371,30,2263,5735,460,34101,212503,96823,444102,
2020-09-21,,,2,0,11,1564,1438,2012,369,30,2258,5711,459,34109,212872,96854,446359,
2020-09-22,,,2,0,11,1566,1438,2022,367,30,2255,5687,459,34103,213239,96884,448614,
2020-09-23,,,2,0,11,1568,1439,2032,365,30,2253,5662,458,34084,213604,96915,450866,
2020-09-24,,,2,0,11,1570,1439,2043,364,30,2252,5637,458,34057,213968,96945,453118,
2020-09-25,,,2,0,11,1572,1439,2053,362,30,2253,5612,457,34028,214330,96975,455370,
2020-09-26,,,2,0,11,1573,1439,2064,361,30,2250,5587,457,33994,214691,97006,457620,
2020-09-27,,,2,0,11,1575,1439,2074,359,30,2250,5561,457,33960,215050,97036,459869,
2020-09-28,,,2,0,11,1577,1439,2085,358,30,2251,5536,457,33927,215407,97067,462120,
2020-09-29,,,2,0,11,1579,1439,2096,356,30,2251,5511,456,33896,215764,97097,464370,
2020-09-30,,,2,0,11,1581,1440,2106,355,30,2249,5487,456,33864,216119,97128,466618,
2020-10-01,,,2,0,11,1583,1440,2117,354,30,2261,5463,456,33848,216472,97158,468879,
